Chapter,Type,Word,Meaning,예문정리(영),예문정리(한),,
4,연관어,accustom,v.익숙하게 하다,to accustom a child to rules,아이를 규칙에 익숙하게 하다,,
4,연관어,be accustomed to,v.~에 익숙하다,He is accustomed to hard work,그는 힘든 일에 익숙하다,,
42,표제어,achieve,"v.달성하다, 이루다, 성취하다",to achieve a goal,목표를 달성하다,,
42,연관어,achievement,"n.성취, 업적",a great achievement,위대한 성취,,
1,표제어,acknowledge,v.인정하다,to acknowledge the fact,사실을 인정하다,,
1,연관어,acknowledgment,"n.인정, 승인",an acknowledgment of fault,잘못의 인정,,
11,표제어,acquaintance,n.지인,an old acquaintance,오랜 지인,,
11,연관어,acquainted,"a.알게 된, 익숙한",an acquainted face,익숙한 얼굴,,
47,표제어,acquire,"v.얻다, 습득하다",to acquire knowledge,지식을 습득하다,,
47,연관어,acquisition,"n.습득, 매입 ",an acquisition of skills,기술의 획득,,
8,표제어,activity,"n.활동, 움직임, 활발함",an outdoor activity,야외 활동,,
8,연관어,act,"v.역할을 하다, 작용하다",to act wisely,현명하게 행동하다,,
8,연관어,action,"n.행동, 조치",an immediate action,즉각적인 행동,,
8,연관어,activate,"v.활성화하다, 작동시키다",to activate the account,계정을 활성화시키다,,
8,연관어,active,"a.능동적인, 적극적인, 활동적인, 활발한",an active life,활발한 생활,,
8,연관어,actively,ad.적극적으로,to participate actively,적극적으로 참여하다,,
8,연관어,activist,"n.활동가, 운동가 ",an environmental activist,환경 운동가,,
8,연관어,actor,"n.배우, 행위자",a famous actor,유명한 배우,,
33,표제어,actual,a.실제의,an actual situation,실제 상황,,
33,연관어,actualize,v.실현하다,to actualize a dream,꿈을 실현하다,,
33,연관어,actually,"ad.실제로, 사실 ",What actually happened?,실제로 무슨 일이 일어났어?,,
22,표제어,acute,"a.심각한, 극심한",an acute pain,극심한 고통,,
22,연관어,acutely,"ad.강렬하게, 극심하게",to feel acutely,심각하게 느끼다,,
21,표제어,adapt,"v.맞추다, 조정하다, 적응하다, 각색하다",to adapt to change,변화에 적응하다,,
21,연관어,adaptability,n.적응성,high adaptability,높은 적응력,,
21,연관어,adaptable,"a.적응할 수 있는, 융통성 있는",an adaptable character,적응 가능한 성격,,
21,연관어,adaptation,"n.조정, 적응, 각색",an adaptation of a novel,소설의 각색,,
21,연관어,adaptive,a.적응의,an adaptive response,적응 반응,,
44,표제어,additional,a.추가의,an additional fee,추가 요금,,
44,연관어,add,v.추가하다,to add sugar,설탕을 넣다,,
44,연관어,additionally,"ad.게다가, 추가로","Additionally, she is very kind",게다가 그녀는 매우 친절하다,,
44,연관어,in addition,"ad.추가로, 게다가","In addition, he speaks three languages.",게다가 그는 세 개의 언어를 말한다,,
34,표제어,addiction,n.중독,a drug addiction,마약 중독,,
43,표제어,additive,n.첨가물,a chemical additive,화학 첨가물,,
7,표제어,address,"n.주소 v.다루다, 처리하다, 연설하다","email address
문제를 다루다 to address the problem
그녀는 청중에게 연설했다. She addressed the audience.",이메일 주소,,
32,표제어,adequate,"a.적절한, 충분한",an adequate answer,적절한 대답,,
32,연관어,adequacy,n.적절성,the adequacy of policy,정책의 적절성,,
32,연관어,adequately,"ad.충분히, 적절하게",to prepare adequately,적절히 준비하다,,
36,표제어,adhere,"v.고수하다, 달라 붙다, 지키다",to adhere to rules,규칙을 지키다,,
36,연관어,adhere to,v.~를 고수하다,to adhere to the law,법을 준수하다,,
33,표제어,adjust,"v.조절하다, 맞추다, 적응하다",to adjust the chair,의자를 조정하다,,
33,연관어,adjustment,n.조정,an adjustment of price,가격 조정,,
6,표제어,admire,"v.존경하다, 감탄하다",to admire her courage,그녀의 용기를 존경하다,,
6,연관어,admiration,"n.감탄, 존경",deep admiration,깊은 존경,,
35,표제어,admit,"v.인정하다, 자백하다, 들어가게 하다","to admit a mistake
돈을 훔친 것을 자백하다 to admit stealing the money
그들은 VIP 손님만 입장시켰다. They admitted only VIP guests.",잘못을 인정하다,,
35,연관어,admission,"n.들어감, 입장, 입학, 인정, 입장료",an admission ticket,입장 허가,,
15,표제어,adolescence,n.청소년기,during adolescence,청소년기 동안,,
15,연관어,adolescent,"n.청소년 a.청소년기의, 사춘기의",adolescent culture,청소년 문화,,
48,표제어,adopt,"v.채택하다, 제정하다, 입양하다","to adopt a resolution
아이를 입양하다 to adopt a child",결의안을 채택하다,,
48,연관어,adoption,"n.채택, 수용, 입양",an adoption of a new policy,새로운 정책의 채택,,
48,표제어,administrative,"a.행정의, 관리의",,,,
28,표제어,advance,"n.진전, 발전, 진보  v.증진되다, 다가가다",to advance technology,기술을 발전시키다,,
28,연관어,advanced,"a.미리 공개된, 발달한, 진보된, 고급의",advanced technology,첨단 기술,,
28,연관어,advancement,"n.발전, 진보, 승진",an advancement of science,과학의 발전,,
28,표제어,advantage,"n.이점, 우위, 혜택",a big advantage,큰 이점,,
28,연관어,advantageous,"a.유리한, 이로운",an advantageous position,유리한 위치,,
3,표제어,advent,"n.도래, 출현",the advent of a new era,새로운 시대의 도래,,
8,표제어,adventure,n.모험,an exciting adventure,흥미로운 모험,,
8,연관어,adventurous,a.모험적인,an adventurous spirit,모험적인 정신,,
32,표제어,adverse,"a.부정적인 , 불리한, 해로운",adverse effect,역효과,,
32,연관어,adversity,"n.역경, 고난",to overcome adversity,역경을 극복하다,,
17,표제어,advertise,v.광고하다,to advertise a new product,신제품을 광고하다,,
17,연관어,advertisement,n.광고,a magazine advertisement,잡지 광고,,
17,연관어,advertiser,n.광고주,a major advertiser,대형 광고주,,
21,표제어,advise,v.충고하다,to advise him,그에게 조언하다,,
21,연관어,advice,n.조언,good advice,현명한 조언,,
42,표제어,advocate,"v. 옹호하다, 지지하다 n.옹호자",to advocate human rights,인권을 옹호하다,,
42,연관어,advocacy,"n.옹호, 지지",advocacy of environmental protection,환경 보호 옹호,,
16,표제어,aesthetic,"a.미적인, 미학의, 심미적인",aesthetic value,미적 가치,,
16,연관어,aesthetically,ad.미적으로,aesthetically beautiful,미적으로 아름다운,,
16,연관어,aesthetics,n.미학,to study aesthetics,미학을 공부하다,,
16,표제어,affair,"n.사건, 관계",an important affair,중요한 사건,,
42,표제어,affect,"v.~에 영향을 주다, 감정을 불러일으키다","to affect mood
그 영화는 그의 감정을 불러일으켰다. The movie affected him.",기분에 영향을 주다,,
42,연관어,affection,"n.애착, 보살핌, 애정",a warm affection,따뜻한 애정,,
42,연관어,affective,"a.감정의, 정서적인",an affective response,정서적 반응,,
20,표제어,affirm,v. 단언한다,to affirm one's loyalty,충성을 맹세하다,,
17,표제어,affirmation,n.긍정,to nod in affirmation.,긍정하며 고개를 끄덕이다,,
17,연관어,affirm,v.단언하다,,,,
17,연관어,affirmative,"a.긍정의, 동의하는",,,,
48,표제어,afford,"v.~할 여유가 있다, 제공하다",to afford a car,차를 살 여유가 있다,,
48,연관어,affordability,"n.감당, 저렴함",housing affordability,주택의 감당 가능성,,
48,연관어,affordable,"a.감당할 수 있는, 저렴한",an affordable price,저렴한 가격,,
40,표제어,afraid,a.두려워하는,to be afraid of mistakes,실수를 두려워하다,,
40,연관어,be afraid of,v.두려워하다,She is afraid of failure,그녀는 실패를 두려워한다,,
1,표제어,against,전.~에 반대하여,to go against the rules,규칙에 반대하다,,
47,표제어,aggravate,"v.악화시키다, 짜증나게 하다",to aggravate the situation,상황을 악화시키다,,
45,표제어,aggressive,"a.공격적인, 적극적인",an aggressive attitude,공격적인 태도,,
45,연관어,aggression,n.공격(성),an act of aggression,폭력적 공격,,
45,연관어,aggressively,ad.격렬하게,to market aggressively,공격적으로 마케팅하다,,
12,표제어,aging,n.노화,the aging process,노화 과정,,
29,표제어,agitate,"v.동요시키다, 선동하다",to agitate the crowd,군중을 선동하다,,
17,표제어,agreement,"n.합의, 계약, 동의, 협정","a formal agreement
국제협정 an international peace agreement",공식 합의,,
17,연관어,agree,v.동의하다,to agree on a plan,계획에 동의하다,,
17,연관어,agreeable,"a.기분 좋은, 동의할 수 있는",an agreeable surprise,기분 좋은 놀라움,,
23,표제어,agriculture,n.농업,modern agriculture,현대 농업,,
23,연관어,agricultural,a.농업의,agricultural technology,농업 기술,,
23,표제어,aid,"n.도움, 원조  v.돕다",medical aid,의료 지원,,
34,표제어,aim,"n.목표 v.목표하다, 겨냥하다",to aim a goal,목표를 세우다,,
34,연관어,be aimed at,v.~를 목표로 하다,The advertisement is aimed at young people,그 광고는 젊은 층을 겨냥하고 있다,,
48,표제어,alarm,"n.경고,경보,알람 v.불안하게 만들다, 경고하다",fire alarm,화재 경보,,
11,표제어,alert,"a.방심하지 않는, 경계하는, 민첩한",to stay alert,경계 태세를 유지하다,,
11,연관어,alertness,"n.각성, 기민함",constant alertness,높은 경계심,,
5,표제어,alien,"a.생소한, 이질적인 n.외계인",an alien being,외계 생명체,,
5,연관어,alienation,n.소외,social alienation,사회적 소외,,
1,표제어,align,"v.정렬하다, 일치시키다",to align his actions with his words,그의 행동을 말과 맞추다,,
1,연관어,align with,"v.맞추다, 조정하다 ",to align with rules,규칙에 맞추다,,
34,표제어,alike,"a.비슷한 ad.둘 다, 똑같이",to look alike,생김새가 비슷하다,,
44,표제어,alive,a.살아 있는,a live fish,살아 있는 물고기,,
16,표제어,allergy,n.알레르기,a pollen allergy,꽃가루 알레르기,,
16,연관어,allergic,a.알레르기가 있는,an allergic reaction,알레르기 반응,,
16,연관어,allergic to ,"…에 대해 알레르기가 있는, …을 몹시 싫어하는",,,,
32,표제어,alleviate,"v.완화하다, 경감하다",to alleviate pain,고통을 완화하다,,
45,표제어,allocate,"v.배분하다, 할당하다",to allocate budget,예산을 할당하다,,
45,연관어,allocation,n.할당,an allocation of resources,자원의 배분,,
13,표제어,allow,v.허락하다,to allow access,출입을 허락하다,,
13,연관어,allowable,a.허용 가능한,an allowable limit,허용 가능한 범위,,
13,연관어,allowance,n.허용,a monthly allowance,월급 수당,,
30,표제어,alter,"v.바꾸다, 변경하다",to alter a plan,계획을 바꾸다,,
30,연관어,alteration,"n.변경, 개조, 수정",an alteration of design,디자인 변경,,
30,연관어,alternately,ad.번갈아서,to work alternately,번갈아 일하다,,
16,표제어,alternative,"n.대안, 양자택일 ",an alternative energy,대체 에너지,,
16,연관어,alternatively,ad.그 대신에,"Alternatively, we can take the train",그 대신에 우리는 기차를 탈 수 있다,,
4,표제어,altruism,n.이타주의,altruism in action,이타주의적 행동,,
4,연관어,altruist,n.이타주의자,a devoted altruist,헌신적인 이타주의자,,
4,연관어,altruistic,a.이타적인 ,an altruistic character,이타적인 성격,,
41,표제어,amaze,v.놀라게 하다 ,It amazes me that they never gets tired.,그들이 전혀 지치지 않는 것이 정말 놀랍다.,,
41,연관어,amazed,"a.놀란, 감탄한",an amazed look,놀란 표정,,
41,연관어,amazingly,ad.놀랄 만큼 ,amazingly simple,놀랍게도,,
10,표제어,ambiguous,"a.모호한, 애매한",an ambiguous answer,모호한 답변,,
10,연관어,ambiguity,n.모호함,ambiguity of expression,표현의 모호성,,
25,표제어,ambitious,a.야심 있는,an ambitious plan,야심찬 계획,,
25,연관어,ambition,n.포부,a great ambition,큰 야망,,
32,표제어,ambivalent,"a.반대 감정이 공존하는, 양면적인",an ambivalent feeling,양가적 감정,,
28,표제어,amount,"n.양, 총계, 총액",to amount to a total,총액을 합하다,,
28,연관어,amount to,"v.결국 ~이 되다, ~에 달하다",,,,
48,표제어,amplify,"v.증폭하다, 확대하다",to amplify sound,소리를 증폭하다,,
48,연관어,ample,a.충분한,to provide amply,풍부히 제공하다,,
45,표제어,analogy,"n.비유, 유사점",an analogy example,비유의 예,,
5,표제어,analyze,v.분석하다,to analyze data,데이터를 분석하다,,
5,연관어,analysis,n.분석,an analysis of data,데이터 분석,,
5,연관어,analyst,n.분석가,a market analyst,시장 분석가,,
5,연관어,analytic,a.분석적인,analytic skills,분석 기술,,
5,연관어,analytical,a.분석적인,analytical thinking,분석적 사고,,
5,연관어,analytically,ad.분석적으로,to explain analytically,분석적으로 설명하다,,
38,표제어,anatomy,n.해부학,human anatomy,인체 해부학,,
44,표제어,ancestor,"n.조상, 선조",a direct ancestor,직계 조상,,
44,연관어,ancestral,a.조상의,ancestral tradition,조상 전통,,
31,표제어,ancient,"a.고대의, 오래된",an ancient city,고대 도시,,
45,표제어,anecdote,"n.일화, 짧은 이야기",a funny anecdote,재미있는 일화,,
44,표제어,anger,n.분노,to feel anger,분노를 느끼다,,
3,표제어,angle,n.각도,to cause annoyance,짜증을 일으키다,,
12,표제어,animate,"v.활기를 불어넣다 a.살아있는, 생물인",to animate a character,생명을 불어넣다,,
12,연관어,animation,"n.생기, 활기, 만화영화",,,,
24,표제어,anniversary,n.기념일,a wedding anniversary,결혼 기념일,,
27,표제어,announcement,"n.발표, 안내 방송",an official announcement,공식 발표,,
27,연관어,announce,"v.알리다, 발표하다, 선언하다",to announce a plan,계획을 발표하다,,
9,표제어,annoy,v.짜증나게 하다,to annoy people,사람을 짜증나게 하다,,
9,연관어,annoyance,"n.짜증, 골칫거리, 성가심",much to our annoyance,짜증스럽게도,,
9,연관어,annoying,a.성가신,an annoying noise,짜증 나는 소리,,
14,표제어,annual,"a.연례의, 매년의",an annual report,연례 보고서,,
14,연관어,annually,"ad.해마다, 매년 ",to be held annually,매년 개최되다,,
41,표제어,anthropologist,n.인류학자,a cultural anthropologist,문화 인류학자,,
41,연관어,anthropology,n.인류학,social anthropology,사회 인류학,,
40,표제어,anticipation,"n.기대, 예상",a moment of anticipation,기대의 순간,,
40,연관어,anticipate,"v.예상하다, 내다보다",to anticipate results,결과를 예상하다,,
8,표제어,antipathy,"n.반감, 혐오",strong antipathy,강한 반감,,
25,표제어,anxious,"a.불안한, 간절히 원하는 ","to be anxious about the result
성공하기를 간절히 바라다 to be anxious to succeed",결과를 걱정하다,,
25,연관어,anxiety,n.불안,severe anxiety,심한 불안,,
25,연관어,anxiously,ad.초조하게,to wait anxiously,초조하게 기다리다,,
34,표제어,apart,"ad.떨어져, 따로",to live apart,떨어져 살다,,
22,표제어,apathy,"n.무관심, 냉담",political apathy,정치적 무관심,,
35,표제어,apparent,"a.명백한, 분명한, 뚜렷한",an apparent difference,분명한 차이,,
35,연관어,apparently,"ad.겉보기에, 분명히",apparently true,분명히 사실인,,
40,표제어,appealing,"a.흥미를 끄는, 매력적인",an appealing offer,매력적인 제안,,
40,연관어,appeal,"n.매력, 호소 v.호소하다",to appeal to the court,항소하다,,
2,표제어,appear,"v.나타나다, ~처럼 보이다, 출연하다","to appear in court
그는 오늘 피곤해 보인다. He appears tired today.
TV 프로그램에 출연하다 to appear on a TV show",법정에 나타나다,,
2,연관어,appearance,"n.겉모습, 외모, 출현 ",a change in appearance,외모 변화,,
35,표제어,apply,"v.적용하다, 바르다, 신청하다",to apply the law,법을 적용하다,,
35,연관어,appliance,"n.가전제품, 기기",a kitchen appliance,주방 기기,,
35,연관어,applicable,a.적용할 수 있는,an applicable rule,적용 가능한 규칙,,
35,연관어,applicant,n.지원자,a job applicant,취업 지원자,,
35,연관어,application,"n.신청, 응용, 앱, 적용, 지원서",an application of theory,이론의 응용,,
45,표제어,appoint,v.임명하다,to appoint a representative,대표를 임명하다,,
45,연관어,appointment,"n.약속, 지정, 임명",a hospital appointment,병원 예약,,
44,표제어,appreciate,"v.감사하다, 알다, 이해하다, 감상하다, 높이 평가하다",to appreciate kindness,친절을 감사하다,,
44,연관어,appreciation,"n.감상, 감탄",deep appreciation,깊은 감사,,
44,연관어,appreciative,"a.감사하는, 감탄하는",an appreciative heart,감사하는 마음,,
45,표제어,approach,"n.접근, 접근법 v.다가가다","a new approach
다가오는 차 an approaching car",새로운 접근 방식,,
45,표제어,appropriate,"a.적절한, 적합한",an appropriate action,적절한 행동,,
45,연관어,appropriately,ad.적절히,to respond appropriately,적절히 대처하다,,
39,표제어,approval,"n.승인, 동의",government approval,정부 승인,,
39,연관어,approve,v.승인하다,to approve a plan,계획을 승인하다,,
40,표제어,approximately,"ad.대략, 약",The distance is approximately five kilometers,그 거리는 대략 5킬로미터이다,,
40,연관어,approximate,a.근사치의,an approximate figure,대략적인 수치,,
40,연관어,approximation,"n.근접, 근사  ",an approximation of value,근사치,,
46,표제어,aptitude,"n.소질, 적성, 재능",an aptitude for music,음악적 소질,,
15,표제어,arbitrary,a.임의의,an arbitrary choice,임의의 선택,,
25,표제어,architecture,"n.건축, 건축학, 구조, 건축물",ancient architecture,고대 건축물,,
25,연관어,architect,n.건축가,a famous architect,유명한 건축가,,
25,연관어,architectural,a.건축의,architectural design,건축 설계,,
29,표제어,argue,"v.주장하다, 논쟁하다",to argue about policy,정책에 대해 논의하다,,
29,연관어,arguable,a.논쟁의 여지가 있는,an arguable claim,논쟁의 여지가 있는 주장,,
29,연관어,arguably,"ad.거의 틀림없이, 주장할 만하게",He is arguably the best player,그는 아마도 최고의 선수이다,,
29,연관어,argument,"n.논지, 주장, 말다툼",a heated argument,격렬한 논쟁,,
40,표제어,arise,"v.발생하다, 일어나다",to arise a problem,문제가 발생하다,,
44,표제어,arouse,"v.(감정/관심을)불러일으키다, 자극하다, 각성시키다, 깨우다",to arouse interest,관심을 불러일으키다,,
44,연관어,arousal,"n.자극, 각성",a strong arousal,강한 각성,,
41,표제어,arrangement,"n.배열, 배치, 준비, 합의","a seat arrangement
여행 준비 travel arrangement
국가들간의 합의 an arrangement between nations",좌석 배치,,
41,연관어,arrange,"v.정리하다, 준비하다","to arrange a meeting
책들은 알파벳순으로 정리되어 있다 The books are arranged alphabetically",회의를 준비하다,,
32,표제어,array,"n.집합, 모음, (컴퓨터) 배열 v.배열하다",an array of choices,다양한 배열,,
3,표제어,arrogant,a.오만한,to assume an arrogant attitude,거만하게 굴다,,
3,표제어,article,"n.글, 기사, 물품, 조항",a newspaper article,신문 기사,,
21,표제어,artifact,"n.유물, 인공물",a historical artifact,역사적 유물,,
12,표제어,artificial,"a.인공의, 인위적인, 거짓된",artificial intelligence,인공 지능,,
8,표제어,ascend,"v.오르다, 상승하다",to ascend a mountain,산에 오르다,,
24,표제어,ashamed,"a.부끄러운, 수치스러운",to feel ashamed,부끄럽게 느끼다,,
32,표제어,aspect,"n.측면, 양상, 방향, 모습",an important aspect,중요한 측면,,
47,표제어,aspiration,"n.열망, 염원",a high aspiration,큰 포부,,
47,연관어,aspire,v.열망하다,to aspire to success,성공을 열망하다,,
24,표제어,assemble,"v.조립하다, 모으다",to assemble furniture,가구를 조립하다,,
24,연관어,assembly,"n.집회, 조립",an assembly of cars,자동차 조립,,
27,표제어,assert,v.주장하다,to assert rights,권리를 주장하다,,
27,연관어,assertion,n.주장,an assertion of fact,사실의 주장,,
27,연관어,assertive,a.자기주장이 강한,an assertive personality,자신감 있는 성격,,
10,표제어,assess,v.평가하다,to assess risk,위험을 평가하다,,
10,연관어,assessment,n.평가,an assessment of performance,학업 성취도 평가,,
5,표제어,assign,"v.할당하다, 부여하다",to assign a role,역할을 배정하다,,
5,연관어,assignment,"n.과업, 과제",a school assignment,학교 과제,,
7,표제어,assist,v.돕다 n.도움,to assist the injured,부상자를 돕다,,
7,연관어,assistance,"n.도움, 지원",medical assistance,의료 지원,,
19,표제어,associate,"v.연관짓다, 연상하다 n.동료","to associate summer with the beach
친구와 교제하다 to associate with friends",여름 하면 해변을 연상하다,,
19,연관어,association,"n.연관, 연상, 협회",a trade association,무역 협회,,
19,연관어,be associated with,v.~과 관련되다,Obesity is associated with health problems,비만은 종종 건강 문제와 연관된다,,
35,표제어,assume,"v.가정하다, 추측하다, (책임 등을) 맡다, 추정하다",to assume responsibility,책임을 떠맡다,,
35,연관어,assumption,"n.가정, 추정",a false assumption,잘못된 가정,,
5,표제어,assure,"v.확신시키다, 보장하다",to assure success,성공을 보장하다,,
5,연관어,assurance,"n.확신, 보증",quality assurance,품질 보장,,
5,연관어,astonish,v.놀라게 하다,to astonish people,사람들을 깜짝 놀라게 하다,,
27,표제어,astonishing,a.놀라운,an astonishing result,놀라운 성과,,
27,연관어,astonishingly,ad.놀랍게도,astonishingly clear,놀랍게도,,
30,표제어,asymmetric,a.비대칭의,an asymmetric structure,비대칭 구조,,
45,표제어,at best,"기껏해야, 잘해야","The plan is, at best, only a partial success",그 계획은 잘해봐야 부분적인 성공에 불과하다,,
18,표제어,athlete,n.운동선수,"a professional athlete
탄탄한 몸매 an athletic figure",운동 선수,,
18,연관어,athletic,"a.운동의, (몸이) 탄탄한",athletic ability,운동 능력,,
31,표제어,atmosphere,"n.대기, 분위기",to create an atmosphere,분위기를 만들다,,
5,표제어,atom,n.원자,a hydrogen atom,수소 원자,,
5,연관어,atomic,a.원자의,atomic energy,원자 에너지,,
1,표제어,attach,"v.붙이다, 애착을 느끼다",to attach a label,라벨을 부착하다,,
1,연관어,attachment,"n.애착, 부착물",an attachment of a photo,사진 첨부,,
5,표제어,attain,"v.이루다, 달성하다, 도달하다",to attain a goal,목표를 달성하다,,
5,연관어,attainable,a.이룰 수 있는,an attainable dream,달성 가능한 꿈,,
28,표제어,attend,"v.참석하다, 주의를 기울이다",to attend class,수업에 참석하다,,
28,연관어,attendance,"n.출석, 참석",high attendance,높은 출석률,,
28,연관어,attentive,a.주의를 기울이는,,,,
20,표제어,attention,"n.주의, 주목, 관심",to draw attention,관심을 끌다,,
20,연관어,attentive,"a.세심한, 주의 깊은",an attentive service,세심한 서비스,,
28,표제어,attitude,"n.태도, 마음가짐",a positive attitude,긍정적인 태도,,
8,표제어,attract,"v.끌어당기다, 매혹하다, 유인하다",to attract tourists,관광객을 끌다,,
8,연관어,attraction,"n.매력, 명소",a tourist attraction,주요 관광 명소,,
8,연관어,attractive,a.매력적인,an attractive offer,매력적인 제안,,
8,연관어,unattractive,a.매력적이지 않은,unattractive appearance,매력적이지 않은 외모,,
8,연관어,attractiveness,n.매력,to maintain attractiveness,매력을 유지하다,,
7,표제어,attribute,"n.속성, 특성 v. 결과로 보다",to attribute her success to hard work,성공을 성실한 노력 덕으로 돌리다,,
7,연관어,attribution,"n.귀속, 원인으로 돌림",attribution of this painting to Rembrandt,이 그림은 렘브란트 것,,
7,연관어,be attributed to,"v.~의 탓으로 돌려지다, ~로 원인이 돌려지다",His success is attributed to effort,그의 성공은 노력 덕분으로 여겨진다,,
43,표제어,auditory,"a.청각의, 귀의",auditory signals,청각 신호,,
24,표제어,authentic,"a.진짜의, 진품의, 믿을 만한",an authentic jewel,진짜 보석,,
24,연관어,authenticity,"n.진정성, 진위",authenticity of a document,문서의 진위,,
20,표제어,authority,"n.권위, 권한",legal authority,법적 권한,,
20,연관어,authoritative,a.권위 있는,an authoritative tone,권위 있는 어조,,
20,연관어,authorities,"n.당국, 관계자 ",local authorities,지방 당국,,
15,표제어,autobiography,n.자서전,an autobiography of the president,대통령 자서전,,
37,표제어,automate,v.자동화하다,to automate tasks,업무를 자동화하다,,
37,연관어,automated,a.자동화된,an automated system,자동화된 시스템,,
2,표제어,automatic,"a.자동의, 무의식적인",an automatic answer machine,자동 응답기,,
2,연관어,automatically,ad.자동적으로,to save automatically,자동으로 저장하다,,
2,연관어,automation,n.자동화,industrial automation,산업 자동화,,
25,표제어,autonomy,"n.자율성, 자치",personal autonomy,개인의 자율성,,
